"English","English"
"Your payment was processed correctly","Your payment was processed correctly"
"Error while saving the transaction","Error while saving the transaction"
"Invalid Response","Invalid Response"
"Payment process with ","Payment process with "
"New Payment ID >> ","New Payment ID >> "
"Status >> ","Status >> "
"Authorization Code >> ","Authorization Code >> "
"Successful operation ","Successful operation "
"Refund Fail","Refund Fail"
"Operation Fails ","Operation Fails "
"SORRY! There is a problem with the connection, please try again later","SORRY! There is a problem with the connection, please try again later"
"Fail to Cancel","Fail to Cancel"
"Operation Fails ","Operation Fails "
"Payment declined","Payment declined"
"Payment Denied","Payment Denied"
"Technical error in the cancellation","Technical error in the cancellation"
"Are you sure you want to refund this order?","Are you sure you want to refund this order?"
"Activate","Activate"
"Client ID","Client ID"
"Secret","Secret"
"User Webhook","User Webhook"
"Pass Webhook","Pass Webhook"
"Test Environment", "Test Environment"
"Refund", "Refund"
"Invalid Operation","Invalid Operation"
"Interest Rate", "Interest Rate"
"Regresar al carrito de compras", "Return to shopping cart"
"Cancel and Refund", "Cancel and Refund"
"The user canceled the payment flow","The user canceled the payment flow"